 TIME                    	Outlet                   	
  +4.4385000000000000E+03	  +1.8809360662075935E+01	
  +4.4387500000000000E+03	  +1.8745789577591754E+01	
  +4.4390000000000000E+03	  +1.8682033250795083E+01	
  +4.4392500000000000E+03	  +1.8616876440885779E+01	
  +4.4395000000000000E+03	  +1.8546867583067787E+01	
  +4.4397500000000000E+03	  +1.8480665172051545E+01	
  +4.4400000000000000E+03	  +1.8428686268251212E+01	
  +4.4402500000000000E+03	  +1.8397455512454904E+01	
  +4.4405000000000000E+03	  +1.8369723029495333E+01	
  +4.4407500000000000E+03	  +1.8341956539006656E+01	
  +4.4410000000000000E+03	  +1.8314156044521262E+01	
  +4.4412500000000000E+03	  +1.8286321549571557E+01	
  +4.4415000000000000E+03	  +1.8258452880398316E+01	
  +4.4417500000000000E+03	  +1.8230550394901066E+01	
  +4.4420000000000000E+03	  +1.8202613741812897E+01	
  +4.4422500000000000E+03	  +1.8173969055785275E+01	
  +4.4425000000000000E+03	  +1.8141548359458373E+01	
  +4.4427500000000000E+03	  +1.8107181614523380E+01	
  +4.4430000000000000E+03	  +1.8073495908902014E+01	
  +4.4432500000000000E+03	  +1.8042776037057962E+01	
  +4.4435000000000000E+03	  +1.8014184653725344E+01	
  +4.4437500000000000E+03	  +1.7986576483355790E+01	
  +4.4440000000000000E+03	  +1.7959009394602173E+01	
  +4.4442500000000000E+03	  +1.7929418662853806E+01	
  +4.4445000000000000E+03	  +1.7893118095844269E+01	
  +4.4447500000000000E+03	  +1.7855653620561355E+01	
  +4.4450000000000000E+03	  +1.7824059870261426E+01	
  +4.4452500000000000E+03	  +1.7818326253579592E+01	
  +4.4455000000000000E+03	  +1.7899617334404081E+01	
  +4.4457500000000000E+03	  +1.8027921825113207E+01	
  +4.4460000000000000E+03	  +1.8148295804153662E+01	
  +4.4462500000000000E+03	  +1.8218905417852930E+01	
  +4.4465000000000000E+03	  +2.0585218658520187E+01	
  +4.4467500000000000E+03	  +2.1014206582295241E+01	
  +4.4470000000000000E+03	  +2.1470882456731257E+01	
  +4.4472500000000000E+03	  +2.1921476107395097E+01	
  +4.4475000000000000E+03	  +2.2398877107238242E+01	
  +4.4477500000000000E+03	  +2.3091083846895646E+01	
  +4.4480000000000000E+03	  +2.3987658731633289E+01	
  +4.4482500000000000E+03	  +2.5127765966103706E+01	
  +4.4485000000000000E+03	  +2.6606167776126792E+01	
  +4.4487500000000000E+03	  +2.8194228656871175E+01	
  +4.4490000000000000E+03	  +2.9882414778848869E+01	
  +4.4492500000000000E+03	  +3.1748007508882576E+01	
  +4.4495000000000000E+03	  +3.3579565324830014E+01	
  +4.4497500000000000E+03	  +3.5149376281314332E+01	
  +4.4500000000000000E+03	  +3.6230236741314016E+01	
  +4.4502500000000000E+03	  +3.6950619547949664E+01	
  +4.4505000000000000E+03	  +3.7524165750594989E+01	
  +4.4507500000000000E+03	  +3.8146404160396557E+01	
  +4.4510000000000000E+03	  +3.8721491048528151E+01	
  +4.4512500000000000E+03	  +3.9243959744338113E+01	
  +4.4515000000000000E+03	  +3.9754830773486042E+01	
  +4.4517500000000000E+03	  +4.0340114947312898E+01	
  +4.4520000000000000E+03	  +4.1204526546861885E+01	
  +4.4522500000000000E+03	  +4.2088863538074392E+01	
  +4.4525000000000000E+03	  +4.2664349308608337E+01	
  +4.4527500000000000E+03	  +4.2656510469743992E+01	
  +4.4530000000000000E+03	  +4.2225489116213694E+01	
  +4.4532500000000000E+03	  +4.1537878055674867E+01	
  +4.4535000000000000E+03	  +4.0717755828660813E+01	
  +4.4537500000000000E+03	  +3.9871868550287914E+01	
  +4.4540000000000000E+03	  +3.8931817515263425E+01	
  +4.4542500000000000E+03	  +3.7961836727652489E+01	
  +4.4545000000000000E+03	  +3.7011176395351370E+01	
  +4.4547500000000000E+03	  +3.6260115470062154E+01	
  +4.4550000000000000E+03	  +3.5689203032420046E+01	
  +4.4552500000000000E+03	  +3.5217040987702802E+01	
  +4.4555000000000000E+03	  +3.4701710141636966E+01	
  +4.4557500000000000E+03	  +3.4099019613700669E+01	
  +4.4560000000000000E+03	  +3.3507049765547094E+01	
  +4.4562500000000000E+03	  +3.2698244551885338E+01	
  +4.4565000000000000E+03	  +3.1770011959205164E+01	
  +4.4567500000000000E+03	  +3.0052122008012127E+01	
  +4.4570000000000000E+03	  +2.8029703502774669E+01	
  +4.4572500000000000E+03	  +2.6228986032624739E+01	
  +4.4575000000000000E+03	  +2.4894431511872789E+01	
  +4.4577500000000000E+03	  +2.3885380039862024E+01	
  +4.4580000000000000E+03	  +2.3071481577192674E+01	
  +4.4582500000000000E+03	  +2.2428918488961649E+01	
  +4.4585000000000000E+03	  +2.1957045586136310E+01	
  +4.4587500000000000E+03	  +1.9876247775620751E+01	
  +4.4590000000000000E+03	  +1.9830247415765903E+01	
  +4.4592500000000000E+03	  +1.9778135652995925E+01	
  +4.4595000000000000E+03	  +1.9714327260197010E+01	
  +4.4597500000000000E+03	  +1.9647046435070319E+01	
  +4.4600000000000000E+03	  +1.9586560642080190E+01	
  +4.4602500000000000E+03	  +1.9540226511693298E+01	
  +4.4605000000000000E+03	  +1.9496391445170072E+01	
  +4.4607500000000000E+03	  +1.9452461503962120E+01	
  +4.4610000000000000E+03	  +1.9408436704423259E+01	
  +4.4612500000000000E+03	  +1.9364317062907315E+01	
  +4.4615000000000000E+03	  +1.9320102595768116E+01	
  +4.4617500000000000E+03	  +1.9275793488566773E+01	
  +4.4620000000000000E+03	  +1.9231389419604106E+01	
  +4.4622500000000000E+03	  +1.9186890574079595E+01	
  +4.4625000000000000E+03	  +1.9142296968347058E+01	
  +4.4627500000000000E+03	  +1.9097608618760326E+01	
  +4.4630000000000000E+03	  +1.9052825541673219E+01	
  +4.4632500000000000E+03	  +1.9006561278104442E+01	
  +4.4635000000000000E+03	  +1.8953318382424730E+01	
  +4.4637500000000000E+03	  +1.8898955199631516E+01	
  +4.4640000000000000E+03	  +1.8851102165581533E+01	
